platform_adi,kitle_fonlamasi_turu,kategori,fon_sekli,proje_adi,proje_sahibi,proje_sahibi_cinsiyet,kac_proje_destekledi,kac_projeye_abone,kac_projenin_sahibi,kac_proje_takiminda,konum,bolge,yil,proje_baslama_tarihi,proje_bitis_tarihi,gun_sayisi,tanitim_videosu,video_uzunlugu,gorsel_sayisi,sss,guncellemeler,yorumlar,destekci_sayisi,odul_sayisi,ekip_kisi_sayisi,web_sitesi,sosyal_medya,sm_sayisi,sm_takipci,etiket_sayisi,icerik_kelime_sayisi,proje_aciklamasi,hedef_miktari,basari_durumu
crowdfon,ödül,diğer,ya hep ya hiç,Kültürel Değişim Programı,Alper Can Aydın,erkek,0,0,1,0,belirsiz,belirsiz,2016,,,60,yok,0,1,0,0,0,0,4,1,yok,yok,0,0,0,115,"AIESEC ile Breziya'ya (Cuiabá) bir gönüllülük programı için gitmeye hak kazandım. Program, kültürler arası et",50000,başarısız
crowdfon,ödül,teknoloji,ya hep ya hiç,Kazankazandıkca,Kaan Becikoğlu,erkek,0,0,1,0,belirsiz,belirsiz,2019,,,60,yok,0,1,0,0,0,0,4,1,yok,yok,0,0,0,115,QR Kodları ile Üretici Ve Tüketiciyi indirimlerle birleştiren bir platform Rakiplerinize karşı üstünlük kazanı,50000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,KUTU (The Box) I Türkçe ve İngilizce Olarak Ayrı Ayrı Çekilen Kısa Film,CAGRI DORTER,erkek,0,0,1,0,muğla,ege,2019,03.07.2019,1.09.2019,60,var,349,10,0,2,0,8,9,2,var,var,2,131,5,792,Yalnız kalmak için ona kimsenin ulaşamayacağı uzak bir köye kaçan kadının kapısında ertesi gün gizemli bir kargocu belirir. Elinde garip bir kutu vardır...,12500,başarısız
fongogo,ödül,çevre,hepsi kalsın,Ekofest 2015,Olga Durel,kadın,0,0,1,0,çanakkale,marmara,2015,20.07.2015,15.08.2015,26,var,182,9,0,1,0,3,5,1,yok,yok,0,0,0,1153,"Ekofest 2015, doğa koruma bilincinin arttırılması ve ekolojik yaşam pratikleri konusunda bilgi ve deneyim paylaşımında bulunmak amacıyla düzenlenmektedir.",10000,başarısız
ideanest,bağış,teknoloji,hepsi kalsın,BLIS - IMPACT for STEAM,Can Kültür,erkek,1,0,1,0,ankara,iç anadolu,2018,,,60,var,226,0,0,0,1,33,0,1,yok,yok,0,0,0,677,"Öğrencilerimizin projelerini geliştirmesi için, birlikte çalışabilecekleri uygun mekan ve imkanları sağlamak için desteklerinizi bekliyoruz.",35000,başarılı
ideanest,bağış,sağlık-güzellik,hepsi kalsın,Hemşirelikte İnovasyon Akademisi,Yeliz Doğan Merih,kadın,0,0,1,0,istanbul,marmara,2018,,,60,var,187,0,0,0,0,42,0,1,yok,yok,0,0,0,634,Bizler inovasyon sürecini destekleyen ve yeni ürünler geliştiren inovatif bir hemşirelik grubuyuz,49500,başarılı
fongogo,ödül,kültür-sanat,ya hep ya hiç,Hayal Perdesi Oyuncuları 12. Tiyatro Festivali,hasibe kaya,kadın,0,0,1,0,denizli,ege,2020,28.02.2020,22.04.2020,54,var,48,13,0,0,0,0,7,1,var,var,3,1750,1,596,"Ağırladığımız tiyatro ekipleri, ünlü konuklar ve profosyonel isimler ile tiyatro coşkusunu Pamukkale Üniversitesi'ne ve Denizli halkına yaşatmaya çalışıyoruz.",3500,başarısız
fongogo,ödül,kültür-sanat,ya hep ya hiç,Kösedere Köyü Kirigami Sanatı Sergisi ve Atölyesi'ni Hep Birlikte Kuralım,Cem Öngider,erkek,0,0,2,0,istanbul,marmara,2020,17.09.2020,1.11.2020,45,var,167,3,3,0,0,0,6,2,yok,var,1,426,0,1535,"Sanat sergisi/galerisi ve atölyesi kavramını şirin bir köyde uygulayarak ve tanıtmak amacındayım. Kösedere Köyü, sizinle bu hayalin gerçekleşmesine tanık olsun.",30000,başarısız
fongogo,ödül,yayıncılık,ya hep ya hiç,"Dünyayı Kitaplarımızla Gezin - Dünyanın Yerlisi 1, 2, 3 ve Rafa'nın Küresi",Percin Imrek,erkek,3,0,7,0,istanbul,marmara,2020,10.08.2020,22.09.2020,43,var,46,1,0,3,0,45,9,3,var,var,1,171,0,130,3 yeni kitabımız ve ‘’Dünyanın Yerlisi 1’’ kitabının güncellenmiş versiyonunu içeren kitlesel fonlama projemizi sizlere sunmaktan mutluluk duyarız.,20000,başarılı
crowdfon,ödül,çevre,ya hep ya hiç,Ceviz Ağacıyla Ekonomiye Ve Çevreye Katkı,Mahmut Tunç,erkek,0,0,1,0,belirsiz,belirsiz,2015,,,60,yok,0,1,0,0,0,0,4,1,yok,yok,0,0,0,115,"Ceviz özellikle kalp-damar hastalıklarına şifa verdiği bilinmektedir. Yeni araştırmalar, ceviz tüketmenin kolon",50000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,"İnci, Pabucun Dama Atıldı!",Arda Akçay,erkek,0,0,1,0,ankara,iç anadolu,2020,27.01.2020,9.03.2020,42,var,68,2,0,0,0,19,8,1,yok,var,2,416,0,621,İnsanı ölümsüz kılan şey göçüp gittikten sonra hikayelerinin anlatılmasıdır belki de. İzmir'de yaşayan küçük bir kızın ve ailesinin gerçek hikayelerinden...,10000,başarılı
crowdfon,ödül,film-video-fotoğraf,ya hep ya hiç,The Mistery Of The Drugseller,Özge Erdem,kadın,0,0,1,0,belirsiz,belirsiz,2013,,,60,var,60,1,0,0,0,20,8,1,yok,yok,0,0,0,89,"Film özgürlüklerin bizi yöneten hükümetler tarafından belirlendiği bir dünyada, kişisel iradeye ses verir ve e",5260,başarılı
crowdfon,ödül,teknoloji,ya hep ya hiç,Engelli Hayatı,Şahin Bayramoğlu,erkek,0,0,1,0,belirsiz,belirsiz,2017,,,60,yok,0,1,0,0,0,0,4,1,yok,yok,0,0,0,115,Projem öncelikli olarak görme engelli ve yazmak için gerekli uvuzları olmayan insanlar için düşündüğüm bir pr,50000,başarısız
fonbulucu,ödül,teknoloji,ya hep ya hiç,Clefiks,Sercan Şahin,erkek,0,0,1,0,istanbul,marmara,2018,,,60,var,46,7,0,0,5,12,9,1,yok,var,3,346,0,279,Globale Açılabilecek Yerli Projemiz | Türkiye'nin keşfedilmemiş yeteneklerinin müzik platformu | Endüstriyel müzikten sıkılmışsanız sizin için farklı bir alternatif sunuyoruz,8971,başarısız
fongogo,ödül,diğer,ya hep ya hiç,BEHIND THE SILENCE (INDIE OYUN),Burakhan KAYA,erkek,0,0,1,0,izmir,ege,2020,03.07.2020,22.08.2020,50,yok,0,5,0,1,0,0,8,1,yok,yok,0,0,3,346,"Merhabalar,
projemiz bir hikaye tabanlı oyundur türü ise drama,psikoloji,gerilim
biz bu projeyi dünyaya sunmak istiyoruz bize destek olurmusunuz ?",5000,başarısız
fongogo,ödül,teknoloji,ya hep ya hiç,Mobil ve Bilgisayar Oyun Projesi,Mustafa Çelik,erkek,0,0,1,0,istanbul,marmara,2020,19.08.2020,3.10.2020,45,yok,0,3,0,0,0,0,3,1,yok,yok,0,0,0,263,"Merhaba, genç bir öğrenci olarak ilgi duyduğum oyun sektörüne uzun süredir üzerinde çalıştığım oyunları yayınlamak için yardıma ihtiyacım var.",1700,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,Kanadım Değdi Sevdaya,Sertaç Yıldız,erkek,0,0,2,0,ankara,iç anadolu,2019,25.12.2019,23.02.2020,60,var,110,1,0,0,0,44,8,1,yok,var,2,1523,0,214,"Binlerce şiir, yüzlerce türkü ve deyişle örülü koca bir dünya: Mahzuni
Şerif. Mahzuni'nin araladığı kapıdan içeri girerek onun dünyasını keşfe çıkacağız.",20000,başarılı
fongogo,ödül,kültür-sanat,ya hep ya hiç,Dünya'yı Gezmek İstiyorum,Betül Karataş,kadın,0,0,1,0,afyon,ege,2016,08.03.2016,7.05.2016,60,yok,0,8,0,0,0,1,5,1,yok,yok,0,0,0,307,Türkiye'den başlayarak dünya turuna çıkmak ve gezdiğim yerleri/anılarımı fotoğraflarımla ölümsüzleştirmek istiyorum.,31000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,KONUT HAKKIMIZ,tolga bektaş,erkek,1,0,1,0,istanbul,marmara,2019,25.02.2019,26.04.2019,60,var,145,4,0,0,0,1,5,2,yok,yok,0,0,0,88,EVLERİMİZİN HUKUKİ MÜCADELESİ İÇİN DOSYA MASRAFI DESTEĞİNİZİ İSTİYORUZ,30000,başarısız
crowdfon,ödül,kültür-sanat,ya hep ya hiç,Sanat Eserlerimi Bastırmak İstiyorum.,Mert Zaim,erkek,0,0,1,0,belirsiz,belirsiz,2021,,,60,var,51,10,0,0,0,1,5,1,yok,yok,0,0,0,24,"Merhabalar, Sanat eserlerimi sizlerle paylaşabilmek için basmak istiyorum. Son teslim tarihi benim doğum günüm (6 T",12500,başarısız
crowdfon,ödül,diğer,ya hep ya hiç,Aylık 1.99 Tl Ye Ev Sahibi Olma Şansı,Devran Ekmekçioğlu,erkek,0,0,1,0,belirsiz,belirsiz,2020,,,60,yok,0,1,0,0,0,0,3,1,yok,yok,0,0,0,155,Düşünsenize gsm operatörünüze aylık 1.99 fatura yansıtılıyor ve çekilişle tamamen tapusu sizin olacak ikamet,125000,başarısız
fongogo,ödül,teknoloji,ya hep ya hiç,Yalın Başlangıç - Girişimci Rehberi,Ulaş Can Cengiz,erkek,0,0,2,0,istanbul,marmara,2014,26.05.2014,25.07.2014,60,yok,0,0,0,0,0,1,7,1,yok,yok,0,0,0,666,"Herkes bir ""girişim"" içinde. Peki Türkiye koşullarında girişim süreçleri nasıl işler? Cevapları adım adım burada olacak!",2000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,KÖY OKULLARI MAHRUM KALMASIN,ömer yatçi,erkek,0,0,1,0,mardin,güneydoğu,2019,01.10.2019,31.10.2019,30,var,41,12,0,0,0,4,6,1,yok,yok,0,0,5,151,"Evet köy okulları mahrum kalmasın, kalemden, silgiden, halıdan, ağaçtan... Köy okulunda tek öğretmenim, sınırlı imkanlarla bu görevi yapmaktayım.",15000,başarısız
fongogo,ödül,teknoloji,ya hep ya hiç,HİTİT ANGELS ROBOTİK TAKIMI,HİTİT ANGELS,belirsiz,0,0,2,0,çorum,karadeniz,2020,08.04.2020,7.06.2020,60,var,80,11,0,0,0,0,6,2,yok,var,4,218,0,261,"Hitit Angels olarak yarışmalara katılıyoruz, Yarışamalara katılabilememiz için Amerika'da düzenlenecek olan yarışmada desteklerinize ihtiyacımız var.",15000,başarısız
fonbulucu,ödül,teknoloji,ya hep ya hiç,Erken Tanı Sağlayan Spor Ayakkabı,Ahmet Yusuf,erkek,0,0,1,0,ankara,iç anadolu,2020,,,60,var,214,1,0,0,0,0,5,1,yok,yok,0,0,0,109,Spor ayakkabının altına yerleştirdiğimiz sensörlerle sağ ayağa ya da sol ayağa binen yükü ölçeceğiz,15000,başarısız
fongogo,ödül,kültür-sanat,ya hep ya hiç,Beyoğlu Sineması | Sayenizde,Oğuzhan Durmuş,erkek,0,0,1,1,belirsiz,belirsiz,2020,,30.06.2020,60,yok,0,2,0,0,0,94,5,1,yok,yok,0,0,0,120,"#Sayenizde Beyoğlu Sineması’ndayız, Her Şeye Rağmen Hep Birlikte!",250000,başarısız
fonbulucu,ödül,çevre,ya hep ya hiç,BEKTEK (Basınçtan Enerji Kazanım Teknolojisi),Hazar Doğanlar,erkek,0,0,1,0,istanbul,marmara,2019,,,60,var,668,1,0,0,4,18,7,3,yok,var,1,52,0,593,"Şehirde bulunan insan,otomobil, tren gibi unsurların hareket halindeyken bulunduğu zemine ağırlığı dolayısıyla uyguladığı basıncın yeşil enerji olarak geri kazanılmasını sağlıyoruz.",24000,başarısız
ideanest,bağış,teknoloji,hepsi kalsın,3B Vücut Tarayıcısı,Deniz Karaşahin,erkek,0,0,1,0,istanbul,marmara,2019,,,60,var,59,0,0,0,0,23,0,1,yok,yok,0,0,0,412,"İnsan anatomisi her bireyde kendine özgüdür. Bu nedenle ortopedik ürünlerin fayda sağlayabilmeleri için standart bir seri üretimle değil, kişiye ve yaşadığı sıkıntıya özel olarak üretilmesi gerekir.",80000,başarılı
fongogo,ödül,teknoloji,ya hep ya hiç,Taşınabilir 3D Yazıcı,Mustafa ÇAKIR,erkek,0,0,1,0,denizli,ege,2020,23.11.2020,7.01.2021,45,var,84,26,11,0,0,0,9,4,var,var,4,440,1,1066,Üretim hiç bu kadar kolay olmamıştı.Mini Fabrikanızı Her yere Kolaylıkla Taşıyabilirsiniz.,250000,başarısız
fongogo,ödül,kültür-sanat,ya hep ya hiç,Ekran Koruyucu,Alican Seçgin,erkek,0,0,1,0,istanbul,marmara,2019,01.07.2019,30.08.2019,60,yok,0,17,0,0,0,2,9,1,yok,var,1,89,1,11,"İnternet için tasarlanmış, Türk süper kahraman dizisi. Noobların dostu, flamerların düşmanı, anonim vicdanların en kötü kabusu yeni nesil Türk süper kahramanı.",200000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,'Kar' (Kısa Film) Gerçek Bir Hikaye,Didem Iskeçeli,kadın,0,0,1,0,van,doğu,2015,17.09.2015,16.11.2015,60,yok,0,3,0,0,0,3,9,1,yok,var,1,187,0,248,"""Kar"" 2014 yılında Van'ın bir mezrasında yaşanan gerçek bir olayı konu alır.",10000,başarısız
crowdfon,ödül,müzik,ya hep ya hiç,Müzik Stüdyosu İçin Fon,Umut Yelbaşı,erkek,0,0,1,0,belirsiz,belirsiz,2017,,,60,yok,0,1,0,0,0,6,4,1,yok,yok,0,0,0,115,11 yıldır müzikler ilgilenen ve son iki yıldır bir grupta klavye çalan ve son zamanlarda bir Youtube kanalı açm?,10000,başarısız
fongogo,ödül,gıda-yeme-içme,ya hep ya hiç,Doğu Türkistan'a Ramazan Paketi Gönderimi,Yavuz Girit,erkek,0,0,1,0,bursa,marmara,2015,26.06.2015,16.07.2015,20,yok,0,7,0,0,0,0,8,1,yok,yok,0,0,0,349,Doğu Türkistan'da zulüm gören soydaşlarımıza Ramazan ayı için erzak paketi gönderimi,5000,başarısız
crowdfon,ödül,müzik,ya hep ya hiç,Clovoice,Mehmet Bilgin,erkek,0,0,1,0,belirsiz,belirsiz,2015,,,60,yok,0,1,0,0,0,0,4,1,yok,yok,0,0,0,115,Clovoice İnsanların Kendi Seslerini Paylaşması İçin Kurulmuş Bir Kuruluştur . Bu Kuruluşta Her Ay Bir Yarışma,50000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,"Düşün, Hisset, Paylaş / Think, Feel, Give",Korhan Basaran,erkek,6,0,1,0,istanbul,marmara,2015,19.06.2015,24.07.2015,35,var,125,8,0,5,0,64,29,1,yok,var,2,2570,0,706,"Çocukların okula devamı için: ""düşün, hisset, paylaş"" !
For the kids to stay at school rather than on the streets:
""think, feel, give"" !",7500,başarılı
crowdfon,ödül,çevre,ya hep ya hiç,Bafa Hepimizin,Murat Çiçek,erkek,0,0,1,0,belirsiz,belirsiz,2014,,,60,yok,0,1,0,0,0,6,4,1,yok,yok,0,0,0,40,"Bafa Gölü ölüyor.  Doğal park, antik harikalar, kuş cenneti, mağara resimleri, eşsiz orkideler bütününe sahip",8750,başarısız
fonbulucu,ödül,tasarım,ya hep ya hiç,Hayatı Kalbinin Renginde Yaşa,Zeyneb Özdemir,kadın,0,0,1,0,istanbul,marmara,2020,,,60,var,482,5,0,0,0,1,9,1,yok,yok,0,0,0,53,Doğal olanı donüşturmek için beraber çalışalım...,100000,başarısız
fonbulucu,ödül,teknoloji,ya hep ya hiç,dronelarımı yeniden toplayıp uçmak istiyorum.,İlker Aksoy,erkek,0,0,1,0,istanbul,marmara,2020,,,60,var,238,1,0,0,0,0,4,1,yok,yok,0,0,0,100,Gökyüzünde yeniden uçmak için,8000,başarısız
fongogo,ödül,gıda-yeme-içme,hepsi kalsın,'Meryem'in Mutfağını' Yaşat,Sinem  Karaveli,kadın,0,0,2,0,istanbul,marmara,2020,14.04.2020,3.06.2020,50,yok,0,2,0,0,0,1,6,1,yok,var,1,561,5,145,"Bu zor günlerde Lokantamıza sahip çıkıp, küçük bir destek ile ayakta kalmasını sağlayabilirsin.",40000,başarısız
fonbulucu,ödül,müzik,ya hep ya hiç,BetaHouse,Yağız Ozan Dikbaş,erkek,0,0,1,0,ankara,iç anadolu,2018,,,60,var,15,1,0,0,1,2,6,1,yok,var,1,6,0,176,"Free Music, Free Party; Free You! Beta House bir private party uygulaması. Hem keşfedilmemiş yetenekli müzisyenlerin tanınmasına yardımcı olurken hem de müzik severlerin yüksek fiyatlı içeceklere ödedikleri parayı azaltıyor.",10000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,NuhShip.com - Pazaryeri Platformu - Marketplace,Ömer Faruk Eroğlu,erkek,0,0,1,0,konya,iç anadolu,2020,14.09.2020,13.11.2020,60,var,99,2,6,0,0,3,7,5,var,var,3,194,0,582,Yatırım alarak ve fon toplayarak çok daha hızlı büyümek.,125000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,"SineMASAL, Bir Bilet De Sen Al!",Enes Kaya - Sinemasal,erkek,22,0,2,0,istanbul,marmara,2014,17.11.2014,8.01.2015,52,var,287,16,0,7,0,205,8,1,var,var,3,28038,0,291,"Bir film izlersin hayatın değişir. Bir şey değişir, her şey değişir!",70000,başarılı
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,OTORITY,Burak Bolat,erkek,0,0,1,0,antep,güneydoğu,2019,15.05.2019,14.07.2019,60,var,51,7,0,0,0,3,8,1,yok,yok,0,0,0,232,"Otority, gücünü korumak için halkını kutuplaştıran ve bunu yaparken medyayı kullanan bir kraliçe...bir lider...bir otorite.",7500,başarısız
fongogo,ödül,sağlık-güzellik,ya hep ya hiç,Köpeğim Ölüyor,Xösöallas  Özlözöslx,erkek,0,0,1,0,mersin,akdeniz,2019,31.05.2019,15.06.2019,15,var,8,1,0,0,0,0,4,1,yok,yok,0,0,5,118,Köpeğim likörün hayatta kalabilmesi için desteğinize ihtiyacımız var.,2000,başarısız
fonbulucu,ödül,sosyal sorumluluk,ya hep ya hiç,İNBİFO | İnsanlığa Bir Faydam Olsun Derneği,Hüsamettin Çelik,erkek,0,0,1,0,genel,genel,2018,,,60,yok,0,7,0,0,0,0,4,1,yok,var,2,41,0,1296,"Vicdanları diri, gönülleri huzurla dolu bir nesil için 'biz' olmazsak geleceğimiz olmaz.",50000,başarısız
fongogo,ödül,kültür-sanat,hepsi kalsın,Mardin Bienali,Mardin Bienali,kadın,0,0,1,0,mardin,güneydoğu,2018,16.01.2018,16.04.2018,90,var,58,11,0,0,0,161,9,1,var,var,3,6078,5,852,"4. Uluslararası Mardin Bienali'nde ""Sözden Öte"" temamızla kentin tarihi mekanlarını sanatsal paylaşım ve birliktelik platformlarına dönüştürüyoruz.""""",85600,başarılı
fongogo,ödül,müzik,ya hep ya hiç,Kalbindeki yaratıcılığı öldürme: içindeki hayalperesti destekle,Ellina Faust,kadın,0,0,1,0,istanbul,marmara,2019,07.05.2019,6.06.2019,30,yok,0,4,0,0,0,0,6,1,yok,yok,0,0,0,204,Cocuklugumundan beri kurdugum hayallerimin müzikle buluşması hedefine ulasabilmek için yardımcı olur musunuz?,2500,başarısız
arıkovanı,ödül,teknoloji,ya hep ya hiç,Stepbit: Kişiye Özel Ayakkabı Tabanlığı,Ferhat Babacan,erkek,0,0,1,0,belirsiz,belirsiz,2017,,,60,var,101,11,0,2,9,27,15,1,yok,yok,0,0,0,408,"Stepbit, ayak tabanınızın 3/4'ünü kaplayarak özel gün ve davet ayakkabıları için, ayak ön kısmının rahat hareketi için tasarlanmıştır",100000,başarısız
fongogo,ödül,kültür-sanat,ya hep ya hiç,Kitap Hayat Bulsun Hayatlar Kitapla Dolsun,Burak Yalçın,erkek,0,0,1,0,bursa,marmara,2020,11.03.2020,24.05.2020,74,var,84,2,0,1,0,0,5,1,yok,var,1,9240,0,347,"Kirlenmiş yahut popüler kültüre mahkûm olmuş Edebiyatın yeni meyveleri, dallarında çürümeden destek olmak ve bir hayale ortak olmak... İşte amaç budur.",15000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,YILKI ATLARININ İZİNDE,Sedef Samsunluoğlu,kadın,0,0,1,0,tokat,karadeniz,2019,19.11.2019,18.01.2020,60,var,62,8,0,0,0,2,8,2,var,var,2,14,0,376,Nesli tükenmek üzere olan Yılkı Atlarının zor koşullarda çalıştırılmasını engellemek ve tedavi ederek tekrar doğaya bırakmak istiyoruz.,10000,başarısız
